Data;Último;Abertura;Máxima;Mínima;Var%
set/03;2,8925;2,9815;3,0005;2,8615;-2,89%
ago/03;2,9785;2,9625;3,0695;2,9355;0,37%
jul/03;2,9675;2,8415;2,9875;2,8025;4,60%
jun/03;2,837;2,965;2,994;2,8;-4,59%
mai/03;2,9735;2,9115;3,0875;2,8435;2,15%
abr/03;2,911;3,365;3,365;2,871;-13,47%
mar/03;3,364;3,566;3,585;3,323;-5,77%
fev/03;3,57;3,502;3,683;3,45;1,88%
jan/03;3,504;3,538;3,691;3,238;-1,02%
dez/02;3,54;3,555;3,826;3,405;-3,09%
nov/02;3,653;3,62;3,733;3,465;0,08%
out/02;3,65;3,744;4,019;3,519;-2,93%
set/02;3,76;3,01;3,954;3,005;25,02%
ago/02;3,0075;3,4525;3,4525;2,8525;-13,08%
jul/02;3,46;2,838;3,626;2,81;22,80%
jun/02;2,8175;2,5195;2,8915;2,5125;11,89%
mai/02;2,518;2,361;2,552;2,361;6,65%
abr/02;2,361;2,326;2,377;2,252;1,55%
mar/02;2,325;2,364;2,386;2,314;-1,69%
fev/02;2,365;2,412;2,493;2,336;-1,99%
jan/02;2,413;2,311;2,47;2,277;4,41%
dez/01;2,311;2,494;2,496;2,274;-7,37%
nov/01;2,495;2,672;2,672;2,448;-7,46%
out/01;2,696;2,694;2,807;2,659;0,97%
set/01;2,67;2,5653;2,84;2,548;4,13%
ago/01;2,564;2,479;2,583;2,438;3,68%
jul/01;2,473;2,318;2,608;2,309;7,03%
jun/01;2,3105;2,3795;2,4845;2,2665;-2,96%
mai/01;2,381;2,2;2,386;2,192;8,18%
abr/01;2,201;2,152;2,311;2,132;2,23%
mar/01;2,153;2,047;2,178;2,015;5,21%
fev/01;2,0463;1,9708;2,0507;1,9708;3,82%
jan/01;1,971;1,9508;1,981;1,93;1,08%
dez/00;1,95;1,98;1,99;1,949;-1,49%
nov/00;1,9795;1,8995;1,9845;1,8925;4,18%
out/00;1,9;1,843;1,946;1,841;3,06%
set/00;1,8435;1,8235;1,8645;1,8145;1,10%
ago/00;1,8235;1,7745;1,8375;1,7745;2,24%
jul/00;1,7835;1,8025;1,8275;1,7685;-1,30%
jun/00;1,807;1,824;1,83;1,784;-0,93%
mai/00;1,824;1,799;1,86;1,796;1,05%
abr/00;1,805;1,736;1,817;1,736;3,77%
mar/00;1,7395;1,7675;1,7695;1,7085;-1,61%
fev/00;1,768;1,784;1,799;1,756;-0,90%
jan/00;1,784;1,801;1,87;1,761;-1,19%
